name,address,city,latitude,longitude
"Concord, New Hampshire",,"Concord, NH",43.209125,-71.535861
New York City,,"New York, NY",40.71243,-73.979617
New York City,,"New York, NY",40.71243,-73.979617
Peter Cooper Village,1 Stuyvesant Oval,"New York, NY",40.731205,-73.978925
390 First Avenue,390 First Avenue,"New York, NY",40.736427,-73.977909
New York,,"New York, NY",40.71243,-73.979617
First Avenue,,"New York, NY",40.763407,-73.959243
[East] River,,"New York, NY",40.781189,-73.902446
23rd Street,,"New York, NY",40.745363,-73.998453
14th Street,,"New York, NY",40.731372,-73.98257
Stuyvesant Town,1 Stuyvesant Oval,"New York, NY",40.731205,-73.978925
New York,,"New York, NY",40.71243,-73.979617
74th Street and Central Park West,,"New York, NY",40.777559,-73.974995
Upper West Side,,"New York, NY",40.786703,-73.97635
Upper West Side,,"New York, NY",40.786703,-73.97635
New York City,,"New York, NY",40.71243,-73.979617
First Avenue,,"New York, NY",40.763407,-73.959243
Peter Cooper Village,1 Stuyvesant Oval,"New York, NY",40.731205,-73.978925
United States,,,39.631537,-100.77659
United States,,,39.631537,-100.77659
Soviet Union,,,60.283206,87.749437
Peter Cooper Village,1 Stuyvesant Oval,"New York, NY",40.731205,-73.978925
New York City,,"New York, NY",40.71243,-73.979617
Soviet Union,,,60.283206,87.749437
Vietnam,,,14.572049,108.128215
Vietnam,,,14.572049,108.128215
Vietnam,,,14.572049,108.128215
Vietnam,,,14.572049,108.128215
China,,,34.462241,103.796769
Cuba,,,21.66362,-78.909894
Upper West Side,,"New York, NY",40.786703,-73.97635
New York City,,"New York, NY",40.71243,-73.979617
United States,,,39.631537,-100.77659
Brooklyn,,,40.678026,73.944619
Manhattan,,,40.782165,-73.96955
Sag Harbor,,"Sag Harbor, NY",41.000321,-72.292663
Long Island,,,40.791974,-73.136261
New York,,"New York, NY",40.71243,-73.979617
New York City,,"New York, NY",40.71243,-73.979617
Gramercy Park,,,40.73672,-73.98427
New York,,"New York, NY",40.71243,-73.979617
Peter Cooper,1 Stuyvesant Oval,"New York, NY",40.731205,-73.978925
Stuyvesant Town,1 Stuyvesant Oval,"New York, NY",40.731205,-73.978925
Egypt,,,26.595144,29.897728
Philippines,,,12.365825,123.44049
"St. Augustine, Florida",,"St. Augustine, FL",29.904158,-81.3123
New York,,"New York, NY",40.71243,-73.979617
Manhattan,,"New York, NY",40.782165,-73.96955
Upper West Side,,"New York, NY",40.786703,-73.97635
Dartmouth,,"Hanover, NH",43.704425,-72.288704
Upper West Side,,"New York, NY",40.786703,-73.97635
New York,,"New York, NY",40.71243,-73.979617
Upper West Side,,"New York, NY",40.786703,-73.97635
Needle Park,"Broadway &, W 70th St","New York, NY",40.77705,-73.98199
New York,,"New York, NY",40.71243,-73.979617
Needle Park,"Broadway &, W 70th St","New York, NY",40.77705,-73.98199
Needle Park,"Broadway &, W 70th St","New York, NY",40.77705,-73.98199
Upper West Side,,"New York, NY",40.786703,-73.97635
Central Park West,,"New York, NY",40.784636,-73.969822
New York,,"New York, NY",40.71243,-73.979617
New York,,"New York, NY",40.71243,-73.979617
New York,,"New York, NY",40.71243,-73.979617
New York City,,"New York, NY",40.71243,-73.979617
New Hampshire,,,43.377371,-71.61681
New York,,"New York, NY",40.71243,-73.979617
New York,,"New York, NY",40.71243,-73.979617
New York,,"New York, NY",40.71243,-73.979617
New York,,"New York, NY",40.71243,-73.979617
America,,,39.631537,-100.77659
Long Island,,,40.791974,-73.136261
Greenwich Village,,"New York, NY",40.733518,-74.002506
Greenwich Village,,"New York, NY",40.733518,-74.002506
Sixth Avenue,,"New York, NY",40.742917,73.992792
Sixth Avenue,,"New York, NY",40.742917,73.992792
New Hampshire,,,43.377371,-71.61681
Hanover,,,43.706744,-72.286914
Sag Harbor,,"Sag Harbor, NY",41.000321,-72.292663
New York City,,"New York, NY",40.71243,-73.979617
Long Island,,,40.791974,-73.136261
