name,address,city,latitude,longitude
Rauner [Special Collections] Library,6065 Webster Ave,Hanover,43.704608,-72.288208
Dartmouth College,,Hanover,43.704375,-72.289169
"Hanover, New Hampshire",,Hanover,43.70304,-72.289372
London,,London,51.508242,-0.127713
South Africa,,,-30.914272,24.148513
South Africa,,,-30.914272,24.148513
Cambridge [England],,Cambridge,52.218956,0.123413
Paris [France],,Paris,48.856524,2.353716
London,,London,51.508242,-0.127713
Vermont,,,44.378279,-72.783113
States,,,40.237693,-103.96806
Vermont,,,44.378279,-72.783113
South Africa,,,-30.914272,24.148513
South Africa,,,-30.914272,24.148513
Eastern Cape,,,-32.213248,26.421028
Eastern Cape,,,-32.213248,26.421028
South Africa,,,-30.914272,24.148513
Cape Town,,Cape Town,-33.929904,18.463369
Israel,,,30.991976,34.958131
South Africa,,,-30.914272,24.148513
South Africa,,,-30.914272,24.148513
South Africa,,,-30.914272,24.148513
Cape Town,,Cape Town,-33.929904,18.463369
Cape Town University,Rondebosch 7700,Cape Town,-33.9638786,18.4761791
Cape Town University,Rondebosch 7700,Cape Town,-33.9638786,18.4761791
Cambridge,,Cambridge,52.218956,0.123413
Cambridge,,Cambridge,52.218956,0.123413
Paris,,Paris,48.856524,2.353716
Paris,,Paris,48.856524,2.353716
Paris,,Paris,48.856524,2.353716
Cambridge,,Cambridge,52.218956,0.123413
Cambridge,,Cambridge,52.218956,0.123413
Paris,,Paris,48.856524,2.353716
Paris,,Paris,48.856524,2.353716
Geneva,,Geneva,46.205008,6.14443
London,,London,51.508242,-0.127713
America,,,40.237693,-103.96806
London,,London,51.508242,-0.127713
Vermont,,,44.378279,-72.783113
America,,,40.237693,-103.96806
Vermont,,,44.378279,-72.783113
America,,,40.237693,-103.96806
South Africa,,,-30.914272,24.148513
Vermont,,,44.378279,-72.783113
States,,,40.237693,-103.96806
Washington,,Washington,38.909611,-77.043869
Washington,,Washington,38.909611,-77.043869
D.C.,,Washington,38.909611,-77.043869
England,,,52.528278,-1.833871
America,,,40.237693,-103.96806
Vietnam,,,14.333615,108.423797
Vermont,,,44.378279,-72.783113
England,,,52.528278,-1.833871
England,,,52.528278,-1.833871
England,,,52.528278,-1.833871
North Vietnam,,,21.466764,105.986617
Israel,,,30.991976,34.958131
England,,,52.528278,-1.833871
Dartmouth,,Hanover,43.704375,-72.289169
London,,London,51.508242,-0.127713
States,,,40.237693,-103.96806
England,,,52.528278,-1.833871
South Africa,,,-30.914272,24.148513
United States,,,40.237693,-103.96806
England,,,52.528278,-1.833871
England,,,52.528278,-1.833871
England,,,52.528278,-1.833871
England,,,52.528278,-1.833871
England,,,52.528278,-1.833871
South Africa,,,-30.914272,24.148513
States,,,40.237693,-103.96806
