name,address,city,lattitude,longitude
"Thetford, Vermont",,"Thetford, VT",43.821673,-72.249766
"Knoxville, Tennessee",,"Knoxville, TN",35.98505,-83.929212
Knoxville,,"Knoxville, TN",35.98505,-83.929212
"Oak Ridge, Tennessee",,"Oak Ridge, TN",36.012236,-84.253159
Tennessee,,TN,36.199614,-86.777043
Tennessee,,TN,36.199614,-86.777043
Tennessee,,TN,36.199614,-86.777043
Mississippi [River],,,39.212995,-90.717675
New York City,,"New York City, NY",40.697149,-73.889078
Tennessee,,TN,36.199614,-86.777043
United States,,,38.889529,-77.009305
United States of America,,,38.889529,-77.009305
"Oak Ridge, Tennessee",,"Oak Ridge, TN",36.012236,-84.253159
Tennessee,,TN,36.199614,-86.777043
Tennessee,,TN,36.199614,-86.777043
"Milwaukee, Wisconsin",,"Milwaukee, WI",43.020668,-87.909074
Tennessee,,TN,36.199614,-86.777043
United States,,,38.889529,-77.009305
Knoxville,,"Knoxville, TN",35.985054,-83.929212
Knoxville,,"Knoxville, TN",35.985054,-83.929212
Knoxville,,"Knoxville, TN",35.985054,-83.929212
Knoxville,,"Knoxville, TN",35.98505,-83.929212
Knoxville,,"Knoxville, TN",35.98505,-83.929212
Tokyo,,Tokyo,35.6762,139.6503
Tokyo,,Tokyo,35.6762,139.6503
Tokyo,,Tokyo,35.6762,139.6503
Japan,,,35.6762,139.6503
U.S.,,,38.889529,-77.009305
Japan,,,35.6762,139.6503
Tennessee,,TN,36.199614,-86.777043
Wisconsin,,WI,43.028198,-87.91182
Wisconsin,,WI,43.028198,-87.91182
Hanover,,"Hanover, NH",43.703757,-72.288889
Wisconsin,,WI,43.028198,-87.91182
Wisconsin,,WI,43.028198,-87.91182
Russia,,,55.748355,37.604689
Russia,,,55.748355,37.604689
United States,,,38.889529,-77.009305
Russia,,,55.748355,37.604689
United States,,,38.889529,-77.009305
United States,,,38.889529,-77.009305
Wisconsin,,WI,43.028198,-87.91182
United States,,,38.889529,-77.009305
American,,,38.889529,-77.009305
Wisconsin,,WI,43.028198,-87.91182
Hitchcock Hall,18 Mass Row,"Hanover, NH",43.704819,-72.290656
Hitchcock,18 Mass Row,"Hanover, NH",43.704819,-72.290656
Hitchcock,18 Mass Row,"Hanover, NH",43.704819,-72.290656
Dartmouth,,"Hanover, NH",43.703757,-72.288889
Dartmouth,,"Hanover, NH",43.703757,-72.288889
United States,,,38.889529,-77.009305
Vietnam,,,21.018786,105.833333
Vietnam,,,21.018786,105.833333
