id	placeName
dvp_008_place1	Concord, New Hampshire
dvp_008_place2	New York City
dvp_008_place3	Peter Cooper Village
dvp_008_place4	390 First Avenue
dvp_008_place5	New York
dvp_008_place6	First Avenue
dvp_008_place7	[East] River
dvp_008_place8	23rd Street
dvp_008_place9	14th Street
dvp_008_place10	Stuyvesant Town
dvp_008_place11	74th Street and Central Park West
dvp_008_place12	Upper West Side
dvp_008_place13	United States
dvp_008_place14	Soviet Union
dvp_008_place15	Vietnam
dvp_008_place16	China
dvp_008_place17	Cuba
dvp_008_place18	Brooklyn
dvp_008_place19	Manhattan
dvp_008_place20	Sag Harbor
dvp_008_place21	Long Island
dvp_008_place22	Gramercy Park
dvp_008_place23	Peter Cooper
dvp_008_place24	Egypt
dvp_008_place25	Philippines
dvp_008_place26	St. Augustine, Florida
dvp_008_place27	Dartmouth
dvp_008_place28	Needle Park
dvp_008_place29	Central Park West
dvp_008_place30	New Hampshire
dvp_008_place31	America
dvp_008_place32	Greenwich Village
dvp_008_place33	Sixth Avenue
dvp_008_place34	Hanover
dvp_008_place35	Chicago
dvp_008_place36	Columbia
dvp_008_place37	North Mass[achusetts Hall]
dvp_008_place38	North Mass
dvp_008_place39	North Mass Hall
dvp_008_place40	Parkhurst Hall
dvp_008_place41	Hanover, New Hampshire
dvp_008_place42	Berkeley, California
dvp_008_place43	Hanover Inn
dvp_008_place44	Washington
dvp_008_place45	Parkhurst
dvp_008_place46	North Massachusetts Hall
dvp_008_place47	Canada
dvp_008_place48	Gold Coast
dvp_008_place49	Gile
dvp_008_place50	Streeter
dvp_008_place51	Lord
dvp_008_place52	Lyme
dvp_008_place53	the Green
dvp_008_place54	CRREL
dvp_008_place55	Boston
dvp_008_place56	Kiewit [Computation Center]
dvp_008_place57	Kiewit
dvp_008_place58	Hollywood
dvp_008_place59	Mexico
dvp_008_place60	Washington, DC
dvp_008_place61	Dartmouth College
dvp_008_place62	Kent State
dvp_008_place63	Concord
dvp_008_place64	2nd District in New Hampshire
dvp_008_place65	Bushwick
dvp_008_place66	Oakland, California
dvp_008_place67	Iraq
