id	placeName
dvp_012_place1	Ticknor room
dvp_012_place2	Rauner [Special Collections] Library 
dvp_012_place3	Dartmouth College
dvp_012_place4	Grand Junction, Colorado
dvp_012_place5	Grand Junction
dvp_012_place6	Dartmouth
dvp_012_place7	Grand Junction Airport
dvp_012_place8	Philippines
dvp_012_place9	America
dvp_012_place10	Denver
dvp_012_place11	West Point
dvp_012_place12	Thayer Hall
dvp_012_place13	Commons or something [the Class of 1953 Commons]
dvp_012_place14	Wyoming
dvp_012_place15	Colorado
dvp_012_place16	[Dartmouth] Green
dvp_012_place17	Vail ski area
dvp_012_place18	Fort Devens [Massachusetts]
dvp_012_place19	Fort Devens
dvp_012_place20	Vietnam
dvp_012_place21	Fort Benning, Georgia
dvp_012_place22	Cuba
dvp_012_place23	Guantanamo [Bay Detention Camp]
dvp_012_place24	Bremen [Germany]
dvp_012_place25	Munich
dvp_012_place26	Mainz
dvp_012_place27	East German-West German border
dvp_012_place28	Germany
dvp_012_place29	Belgium
dvp_012_place30	Spain
dvp_012_place31	States
dvp_012_place32	East Germany
dvp_012_place33	West Germany
dvp_012_place34	Fulda Gap
dvp_012_place35	U.S.
dvp_012_place36	Candlestick Park
dvp_012_place37	Fort Benning
dvp_012_place38	Tan Son Nhut Air Base
dvp_012_place39	Chu Lai
dvp_012_place40	Chu Lai Air Base
dvp_012_place41	Hill 59
dvp_012_place42	Iraq
dvp_012_place43	Afghanistan
dvp_012_place44	Da Nang
dvp_012_place45	Laotian border
dvp_012_place46	Watts
dvp_012_place47	Harlem
dvp_012_place48	Puerto Rico
dvp_012_place49	Hawaii
dvp_012_place50	Tam Kỳ
dvp_012_place51	South Vietnam
dvp_012_place52	Idaho
dvp_012_place53	Chu Lai Airport [sic; Air Base]
dvp_012_place54	Massachusetts
dvp_012_place55	the Colorado River
dvp_012_place56	Colorado River
dvp_012_place57	Saigon
dvp_012_place58	San Francisco
dvp_012_place59	Calcutta [now called Kolkata, India]
dvp_012_place60	Calcutta
dvp_012_place61	Malaysia
