id	placeName	coordinate location	QID
dvp_013_place1	Rauner [Special Collections] Library		
dvp_013_place2	Boston	42.358333333333,-71.0625	Q100
dvp_013_place3	Lynn	42.466666666667,-70.95	Q49188
dvp_013_place4	Swampscott	42.470833333333,-70.918055555556	Q2086267
dvp_013_place5	Swampscott	42.470833333333,-70.918055555556	Q2086267
dvp_013_place6	Nahant	42.426388888889,-70.919444444444	Q665163
dvp_013_place7	Dartmouth College	43.703333333333,-72.288333333333	Q49116
dvp_013_place8	Maine	45.5,-69	Q724
dvp_013_place9	Cape Cod	41.688889,-70.296944	Q49152
dvp_013_place10	New Hampshire	44,-71.5	Q759
dvp_013_place11	New Jersey	40,-74.5	Q1408
dvp_013_place12	Bowdoin College	43.90875,-69.96231	Q895401
dvp_013_place13	Brunswick	43.910833333333,-69.963055555556	Q518466
dvp_013_place14	Lynn	42.466666666667,-70.95	Q49188
dvp_013_place15	United States Military Academy	41.39277778,-73.95833333	Q9219
dvp_013_place16	Mount Moosilauke	44.024511111111,-71.830916666667	Q3321961
dvp_013_place17	Mount Moosilauke	44.024511111111,-71.830916666667	Q3321961
dvp_013_place18	Second College Grant	44.913888888889,-71.113055555556	Q7443207
dvp_013_place19	University of Massachusetts Boston	42.313432,-71.038445	Q15144
dvp_013_place20	Massachusetts Hall	43.909722,-69.962222	Q6784280
dvp_013_place21	Thayer Hall		
dvp_013_place22	The mural room		
dvp_013_place23	Long Island	40.805805,-73.253616	Q18438
dvp_013_place24	Garden City	40.7269,-73.6497	Q739452
dvp_013_place25	Connecticut River	45.2375,-71.2	Q379648
		41.272222222222,-72.333055555556	
dvp_013_place26	Mount Ascutney	43.444516666667,-72.453702777778	Q2260149
dvp_013_place27	Hanover	43.702222222222,-72.206111111111	Q131908
		43.7083,-72.2772	
dvp_013_place28	College Hall		
dvp_013_place29	Wellesley College	42.29528,-71.30667	Q49205
dvp_013_place30	Skidmore College	43.097777777778,-73.785277777778	Q7535073
dvp_013_place31	Colby–Sawyer College	43.4122,-71.9778	Q5142055
dvp_013_place32	Green Mountain College	43.5171,-73.2396	Q14711908
dvp_013_place33	Heorot [Chi Heorot, formerly Chi Phi] House		
dvp_013_place34	Colby–Sawyer College	43.4122,-71.9778	Q5142055
dvp_013_place35	Green Mountain College	43.5171,-73.2396	Q14711908
dvp_013_place36	Saratoga Springs	43.075277777778,-73.7825	Q1144357
dvp_013_place37	Smith College	42.3175,-72.6375	Q49204
dvp_013_place38	Hopkins Center for the Arts	43.701666666667,-72.288611111111	Q3140375
dvp_013_place39	Hopkins Center for the Arts	43.701666666667,-72.288611111111	Q3140375
dvp_013_place40	Chi Phi		
dvp_013_place41	Vietnam	16,108	Q881
dvp_013_place42	Marine Corps Base Quantico	38.50194,-77.30583	Q1374564
		38.551111,-77.430556	
		38.52263,-77.31834	
dvp_013_place43	Marine Corps Air Facility Quantico	38.5036,-77.305	Q1029695
dvp_013_place44	The BEMA [Big Empty Meeting Area]		
dvp_013_place45	Quantico	38.521871,-77.289757	Q204315
dvp_013_place46	Kansas	38.5,-98	Q1558
dvp_013_place47	San Francisco	37.7775,-122.41638888888889	Q62
dvp_013_place48	UTC−12:00		Q2146
dvp_013_place49	Okinawa Island	26.483333333333,127.95	Q600614
dvp_013_place50	Okinawa Island	26.483333333333,127.95	Q600614
dvp_013_place51	I Corps		
dvp_013_place52	Vietnamese Demilitarized Zone		Q2349960
dvp_013_place53	Đông Hà	16.830277777778,107.09722222222	Q33343
		16.805555555556,107.09055555556	
dvp_013_place54	Huế	16.466666666667,107.58333333333	Q36167
dvp_013_place55	National Route 9		Q936462
dvp_013_place56	Khe Sanh	16.627211111111,106.73733333333	Q1924264
		16.631111111111,106.73555555556	
dvp_013_place57	Điện Biên Phủ	21.383333333333,103.01694444444	Q36027
dvp_013_place58	Hill 68		
dvp_013_place59	Rauner Library		
dvp_013_place60	Hanover	43.702222222222,-72.206111111111	Q131908
		43.7083,-72.2772	
dvp_013_place61	North Vietnam	21.033333,105.85	Q172640
dvp_013_place62	Ho Chi Minh trail		Q695916
dvp_013_place63	Laotian border		
dvp_013_place64	South Vietnam	10.75,106.66666666667	Q180573
dvp_013_place65	Hawaii	21.311388888889,-157.79638888889	Q782
dvp_013_place66	Da Nang	16.031944444444445,108.22055555555555	Q25282
dvp_013_place67	Newport	41.488002,-71.312622	Q54264
dvp_013_place68	Newport	41.488002,-71.312622	Q54264
dvp_013_place69	Dorchester	42.316666666667,-71.05	Q1024037
dvp_013_place70	Fredericksburg	38.301829,-77.470778	Q492342
