id	placeName
dvp_17_place1	Rauner [Special Collections] Library
dvp_17_place2	Dartmouth College
dvp_17_place3	Hanover, New Hampshire
dvp_17_place4	London
dvp_17_place5	South Africa
dvp_17_place6	Cambridge [England]
dvp_17_place7	Paris [France]
dvp_17_place8	Vermont
dvp_17_place9	States
dvp_17_place10	Eastern Cape
dvp_17_place11	Cape Town
dvp_17_place12	Israel
dvp_17_place13	Cape Town University
dvp_17_place14	Cambridge
dvp_17_place15	Paris
dvp_17_place16	Geneva
dvp_17_place17	America
dvp_17_place18	Washington
dvp_17_place19	D.C.
dvp_17_place20	England
dvp_17_place21	Vietnam
dvp_17_place22	North Vietnam
dvp_17_place23	Dartmouth
dvp_17_place24	United States
