id	placeName	coordinate location	QID
dvp_018_place1	Thetford	43.8352997,-72.2480633	Q2348131
dvp_018_place2	Knoxville	35.966666666667,-83.95	Q185582
dvp_018_place3	Knoxville	35.966666666667,-83.95	Q185582
dvp_018_place4	Oak Ridge	36.013333333333,-84.2625	Q48809
dvp_018_place5	Tennessee	36,-86	Q1509
dvp_018_place6	Mississippi River	47.2397,-95.2075	Q1497
		29.1536,-89.2508	
dvp_018_place7	New York City	40.67,-73.94	Q60
dvp_018_place8	United States of America	39.828175,-98.5795	Q30
dvp_018_place9	United States of America	39.828175,-98.5795	Q30
dvp_018_place10	Milwaukee	43.05,-87.95	Q37836
dvp_018_place11	Tokyo	35.689722222222,139.69222222222	Q1490
dvp_018_place12	Japan	35,136	Q17
dvp_018_place13	United States of America	39.828175,-98.5795	Q30
dvp_018_place14	Wisconsin	44.5,-89.5	Q1537
dvp_018_place15	Hanover	43.702222222222,-72.206111111111	Q131908
		43.7083,-72.2772	
dvp_018_place16	Russia	66.41666666666667,94.25	Q159
dvp_018_place17	United States of America	39.828175,-98.5795	Q30
dvp_018_place18	Hitchcock Hall		
dvp_018_place19	Hitchcock		
dvp_018_place20	Dartmouth College	43.703333333333,-72.288333333333	Q49116
dvp_018_place21	Vietnam	16,108	Q881
dvp_018_place22	North Vietnam	21.033333,105.85	Q172640
dvp_018_place23	Vietnam	16,108	Q881
dvp_018_place24	Mississippi River	47.2397,-95.2075	Q1497
		29.1536,-89.2508	
dvp_018_place25	Texas	31,-100	Q1439
dvp_018_place26	Ledyard Bridge	43.7036,-72.2997	Q6512790
dvp_018_place27	The Green	43.7033,-72.2886	Q7738117
dvp_018_place28	Milwaukee	43.05,-87.95	Q37836
dvp_018_place29	Los Angeles	34.05223,-118.24368	Q65
dvp_018_place30	Watts	33.941666666667,-118.24166666667	Q1687279
dvp_018_place31	California State Route 1		Q550419
dvp_018_place32	Disneyland	33.809,-117.919	Q181185
dvp_018_place33	South Africa	-29,24	Q258
dvp_018_place34	Canada	56,-109	Q16
dvp_018_place35	Boston	42.358333333333,-71.0625	Q100
dvp_018_place36	Washington, D.C.	38.895,-77.036666666667	Q61
dvp_018_place37	Arlington National Cemetery	38.876806,-77.070795	Q216344
dvp_018_place38	New Hampshire	44,-71.5	Q759
dvp_018_place39	Minnesota	46,-94	Q1527
dvp_018_place40	Lebanon	43.6422,-72.2517	Q993523
dvp_018_place41	Canaan	43.646666666667,-72.010277777778	Q1031897
dvp_018_place42	Webster Hall		
dvp_018_place43	United States of America	39.828175,-98.5795	Q30
dvp_018_place44	Philadelphia	39.952777777778,-75.163611111111	Q1345
dvp_018_place45	Albany	44.730555555556,-72.340555555556	Q2255535
		44.73088,-72.37983	
dvp_018_place46	Norwich	43.730277777778,-72.303055555556	Q1510465
		43.71535,-72.30787	
dvp_018_place47	Interstate 91		Q94961
dvp_018_place48	Iraq	33,43	Q796
dvp_018_place49	Afghanistan	34,66	Q889
dvp_018_place50	Kuwait	29.166667,47.6	Q817
dvp_018_place51	Parkhurst		
