name,address,city,lattitude,longitude
"Thetford, Vermont",,"Thetford, VT",43.821673,-72.249766
"Knoxville, Tennessee",,"Knoxville, TN",35.98505,-83.929212
Knoxville,,"Knoxville, TN",35.98505,-83.929212
"Oak Ridge, Tennessee",,"Oak Ridge, TN",36.012236,-84.253159
Tennessee,,,36.199614,-86.777043
Tennessee,,,36.199614,-86.777043
Tennessee,,,36.199614,-86.777043
Mississippi [River],,,39.212995,-90.717675
New York City,,"New York, NY",40.71243,-73.979617
Tennessee,,,36.199614,-86.777043
United States,,,37.160477,-96.277202
United States of America,,,37.160477,-96.277202
"Oak Ridge, Tennessee",,"Oak Ridge, TN",36.012236,-84.253159
Tennessee,,,36.199614,-86.777043
Tennessee,,,36.199614,-86.777043
"Milwaukee, Wisconsin",,"Milwaukee, WI",43.020668,-87.909074
Tennessee,,,36.199614,-86.777043
United States,,,37.160477,-96.277202
Knoxville,,"Knoxville, TN",35.98505,-83.929212
Knoxville,,"Knoxville, TN",35.98505,-83.929212
Knoxville,,"Knoxville, TN",35.98505,-83.929212
Knoxville,,"Knoxville, TN",35.98505,-83.929212
Knoxville,,"Knoxville, TN",35.98505,-83.929212
Tokyo,,Tokyo,35.6762,139.6503
Tokyo,,Tokyo,35.6762,139.6503
Tokyo,,Tokyo,35.6762,139.6503
Japan,,,36.6533356,137.9816895
U.S.,,,37.160477,-96.277202
Japan,,,36.6533356,137.9816895
Tennessee,,,36.199614,-86.777043
Wisconsin,,WI,43.028198,-87.91182
Wisconsin,,WI,43.028198,-87.91182
Hanover,,"Hanover, NH",43.706744,-72.286914
Wisconsin,,WI,43.028198,-87.91182
Wisconsin,,WI,43.028198,-87.91182
Russia,,,55.748355,37.604689
Russia,,,55.748355,37.604689
United States,,,37.160477,-96.277202
Russia,,,55.748355,37.604689
United States,,,37.160477,-96.277202
United States,,,37.160477,-96.277202
Wisconsin,,WI,43.028198,-87.91182
United States,,,37.160477,-96.277202
American,,,37.160477,-96.277202
Wisconsin,,WI,43.028198,-87.91182
Hitchcock Hall,18 Mass Row,"Hanover, NH",43.704819,-72.290656
Hitchcock,18 Mass Row,"Hanover, NH",43.704819,-72.290656
Hitchcock,18 Mass Row,"Hanover, NH",43.704819,-72.290656
Dartmouth,,"Hanover, NH",43.704425,-72.288704
Dartmouth,,"Hanover, NH",43.704425,-72.288704
United States,,,37.160477,-96.277202
Vietnam,,,14.572049,108.128215
Vietnam,,,14.572049,108.128215
